timestamp,mse,mae,count
2025-06-22 14:52:04.822312,3344.126826110134,56.172066666701966,45
2025-06-22 14:53:03.991159,3360.3381019251865,56.34119347829414,46
2025-06-22 14:55:04.896615,3375.859536216194,56.50312340428664,47
2025-06-22 14:56:02.189237,3390.7342440784123,56.658306250029455,48
2025-06-22 14:58:05.607126,3405.0018210074763,56.807155102068485,49
2025-06-22 14:59:02.123142,3418.6986948593776,56.950050000025946,50
2025-06-22 15:01:04.878955,3431.8584364033613,57.08734117649489,51
2025-06-22 15:03:02.550355,3444.512034041807,57.21935192309964,52
2025-06-22 15:05:03.894769,3456.6881374297454,57.34638113209666,53
2025-06-22 15:06:02.682193,3468.413274025538,57.46870555557527,54
2025-06-22 15:08:05.535041,3479.712042017847,57.586581818200116,55
2025-06-22 15:09:01.886945,3490.607282581862,57.70024821430265,56
2025-06-22 15:11:03.879514,3501.1202340032773,57.80992631580509,57
2025-06-22 15:12:02.025929,3511.270669858437,57.91582241380745,58
2025-06-22 15:14:04.124497,3521.0770231422352,58.01812881357244,59
2025-06-22 15:16:02.154313,3530.5564979832407,58.11702500001193,60
2025-06-22 15:18:02.249284,3539.7251703704424,58.21267868853537,61
2025-06-22 15:19:02.447833,3539.7251703704424,58.21267868853537,61
2025-06-22 15:20:03.491519,3539.7251703704424,58.21267868853537,61
2025-06-22 15:21:04.795887,3539.7251703704424,58.21267868853537,61
2025-06-22 15:22:05.782074,3438.52829991217,56.6436671875083,64
2025-06-22 15:23:02.588670,3448.5485647381756,56.75610153846881,65
2025-06-22 15:24:03.168938,3448.5485647381756,56.75610153846881,65
2025-06-22 15:25:04.336892,3448.5485647381756,56.75610153846881,65
2025-06-22 15:26:06.117671,3448.5485647381756,56.75610153846881,65
2025-06-22 15:27:02.846073,3448.5485647381756,56.75610153846881,65
2025-06-22 15:28:05.475719,3448.5485647381756,56.75610153846881,65
2025-06-22 15:29:03.013083,3448.5485647381756,56.75610153846881,65
2025-06-22 15:30:07.050783,3448.5485647381756,56.75610153846881,65
2025-06-22 15:31:07.545648,3448.5485647381756,56.75610153846881,65
2025-06-22 15:32:07.706048,3448.5485647381756,56.75610153846881,65
2025-06-22 15:34:06.659434,3087.2489645175838,51.272650000001924,74
2025-06-22 15:36:07.943111,3060.166237263071,50.83240394736908,76
